Fecha,DescripcionES,DescripcionEU,LugarES,LugarEU,Territorio,CodigoEustat,Latitud,Longitud,calendar-uri
2017-05-03,Santa Cruz,Santa Kruz,Orexa,Orexa,Gipuzkoa,60,43.093881,-2.011392,http://opendata.eurohelp.es/jaiegunak/Santa-Kruz
2017-06-29,San Pedro,San Pedro,Orio,Orio,Gipuzkoa,61,43.278323,-2.126597,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-11-30,San Andrés,San Andres,Ormaiztegi,Ormaiztegi,Gipuzkoa,62,43.042735,-2.255848,http://opendata.eurohelp.es/jaiegunak/San-Andres
2017-07-07,San Fermín,San Fermin,Pasai Antxo,Pasai Antxo,Gipuzkoa,64,43.317534,-1.917562,http://opendata.eurohelp.es/jaiegunak/San-Fermin
2017-06-24,San Juan,San Juan,Pasai Donibane,Pasai Donibane,Gipuzkoa,64,43.327481,-1.919883,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-06-29,San Pedro,San Pedro,Pasai San Pedro,Pasai San Pedro,Gipuzkoa,64,43.323348,-1.930432,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-07-17,Siguiente al Carmen,Karmen biharamuna,Trintxerpe,Trintxerpe,Gipuzkoa,64,43.326138,-1.931587,http://opendata.eurohelp.es/jaiegunak/Karmen-biharamuna
2017-06-24,San Juan,San Juan,Segura,Segura,Gipuzkoa,70,43.009216,-2.252519,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-07-26,Santa Ana,Santa Ana,Soraluze/P. De Las Armas,Soraluze/P. De Las Armas,Gipuzkoa,65,43.17543,-2.412494,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-06-24,San Juan,San Juan,Tolosa,Tolosa,Gipuzkoa,71,43.136978,-2.073914,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-09-29,San Miguel,San Migel,Urnieta,Urnieta,Gipuzkoa,72,43.2482,-1.990517,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-09-18,Santa Anastasia,Santa Anastasia,Urretxu,Urretxu,Gipuzkoa,77,43.092282,-2.314383,http://opendata.eurohelp.es/jaiegunak/Santa-Anastasia
2017-06-30,Viernes anterior a Santa Isabel,Santa Ixabel aurreko ostirala,Usurbil,Usurbil,Gipuzkoa,73,43.271382,-2.049934,http://opendata.eurohelp.es/jaiegunak/Santa-Ixabel-aurreko-ostirala
2017-07-26,Santa Ana,Santa Ana,Villabona,Billabona,Gipuzkoa,75,43.189944,-2.052453,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-10-06,Santa Fe,Santa Fe,Zaldibia,Zaldibia,Gipuzkoa,78,43.037964,-2.150894,http://opendata.eurohelp.es/jaiegunak/Santa-Fe
2017-06-26,San Pelayo,San Pelaio,Zarautz,Zarautz,Gipuzkoa,79,43.280364,-2.171588,http://opendata.eurohelp.es/jaiegunak/San-Pelaio
2017-06-05,Lunes de Pentecostés,Mendekoste astelehena,Zegama,Zegama,Gipuzkoa,25,42.975677,-2.290072,http://opendata.eurohelp.es/jaiegunak/Mendekoste-astelehena
2017-08-16,San Roque,San Roke,Zerain,Zerain,Gipuzkoa,26,43.012119,-2.274118,http://opendata.eurohelp.es/jaiegunak/San-Roke
2017-09-08,Natividad de la Virgen,Birjinaren jaiotza,Zestoa,Zestoa,Gipuzkoa,27,43.239442,-2.258113,http://opendata.eurohelp.es/jaiegunak/Birjinaren-jaiotza
2017-09-08,Fiesta local,Tokiko jaieguna,Zizurkil,Zizurkil,Gipuzkoa,28,43.199523,-2.074073,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-06-29,San Pedro,San Pedro,Zumaia,Zumaia,Gipuzkoa,81,43.297258,-2.256848,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-07-03,Santa Isabel,Santa Isabel,Zumarraga,Zumarraga,Gipuzkoa,80,43.090476,-2.31322,http://opendata.eurohelp.es/jaiegunak/Santa-Isabel
2017-02-03,San Blas,Done Blas,Alegría-Dulantzi,Alegria-Dulantzi,Álava/Araba,2,42.841035,-2.512684,http://opendata.eurohelp.es/jaiegunak/Done-Blas
2017-08-16,San Roque,San Roke,Amurrio,Amurrio,Álava/Araba,1,43.057875,-2.998775,http://opendata.eurohelp.es/jaiegunak/San-Roke
2017-07-10,San Cristóbal,Done Kristobal,Añana,Añana,Álava/Araba,49,42.802352,-2.982607,http://opendata.eurohelp.es/jaiegunak/Done-Kristobal
2017-07-03,San Martín,San Martin,Aramaio,Aramaio,Álava/Araba,3,43.054,-2.566,http://opendata.eurohelp.es/jaiegunak/San-Martin
2017-11-11,San Martin de Tours,San Martin Toursekoa,Armiñón,Armiñón,Álava/Araba,6,42.723045,-2.872574,http://opendata.eurohelp.es/jaiegunak/San-Martin-Toursekoa
2017-06-19,San Adrián,Done Adrian,Arraia-Maeztu,Arraia-Maeztu,Álava/Araba,37,42.739815,-2.44598,http://opendata.eurohelp.es/jaiegunak/Done-Adrian
2017-12-26,San Esteban,Done Esteban,Arrazua-Ubarrundia,Arrazua-Ubarrundia,Álava/Araba,8,42.890278,-2.639167,http://opendata.eurohelp.es/jaiegunak/Done-Esteban
2017-09-08,Virgen de la Encina,Arteko Andra Maria,Artziniega,Artziniega,Álava/Araba,4,43.122201,-3.128209,http://opendata.eurohelp.es/jaiegunak/Arteko-Andra-Maria
2017-06-29,San Pedro,Done Petri,Asparrena,Asparrena,Álava/Araba,9,42.895667,-2.321,http://opendata.eurohelp.es/jaiegunak/Done-Petri
2017-07-25,Santiago,Done Jakue,Ayala/Agiñaga,Aiara/Agiñaga,Álava/Araba,10,43.03508,-3.071144,http://opendata.eurohelp.es/jaiegunak/Done-Jakue
2017-05-22,San Ramiro,Done Ramiro,Ayala/Añes,Aiara/Añes,Álava/Araba,10,43.058414,-3.132924,http://opendata.eurohelp.es/jaiegunak/Done-Ramiro
2017-09-29,San Miguel,Done Mikel,Ayala/Beotegi,Aiara/Beotegi,Álava/Araba,10,43.08866,-3.075259,http://opendata.eurohelp.es/jaiegunak/Done-Mikel
2017-09-29,San Miguel,Done Mikel,Ayala/Costera,Aiara/Opellora,Álava/Araba,10,43.102599,-3.103772,http://opendata.eurohelp.es/jaiegunak/Done-Mikel
2017-05-03,La Cruz,Gurutzea,Ayala/Erbi,Aiara/Erbi,Álava/Araba,10,43.074143,-3.111819,http://opendata.eurohelp.es/jaiegunak/Gurutzea
2017-05-08,Ntra. Sra. de la Antigua,Antiguako Ama,Ayala/Etxegoien,Aiara/Etxegoien,Álava/Araba,10,43.043726,-3.02107,http://opendata.eurohelp.es/jaiegunak/Antiguako-Ama
2017-01-07,San Julián,Done Julian,Ayala/Izoria,Aiara/Izoria,Álava/Araba,10,43.061416,-3.036324,http://opendata.eurohelp.es/jaiegunak/Done-Julian
2017-12-09,La Inmaculada,Sortzez Garbiaren Eguna,Ayala/Lejarzo,Aiara/Lejarzo,Álava/Araba,10,43.060158,-3.122923,http://opendata.eurohelp.es/jaiegunak/Sortzez-Garbiaren-Eguna
2017-08-16,La Asunción,Jasokundearen Eguna,Ayala/Lujo,Aiara/Luxo,Álava/Araba,10,43.077952,-3.096407,http://opendata.eurohelp.es/jaiegunak/Jasokundearen-Eguna
2017-07-22,La Magdalena,Magdalena Eguna,Ayala/Luiaondo,Aiara/Luiaondo,Álava/Araba,10,43.102723,-2.997211,http://opendata.eurohelp.es/jaiegunak/Magdalena-Eguna
2017-07-25,Santiago,Done Jakue,Ayala/Llanteno,Aiara/Llanteno,Álava/Araba,10,43.091803,-3.099984,http://opendata.eurohelp.es/jaiegunak/Done-Jakue
2017-11-23,San Clemente,Done Klemente,Ayala/Madaria,Aiara/Madaria,Álava/Araba,10,43.04389,-3.085953,http://opendata.eurohelp.es/jaiegunak/Done-Klemente
2017-01-17,San Antón,Done Anton,Ayala/Maroño,Aiara/Maroño,Álava/Araba,10,43.055065,-3.05901,http://opendata.eurohelp.es/jaiegunak/Done-Anton
2017-06-29,San Pedro,Done Petri,Ayala/Menagarai,Aiara/Menagarai,Álava/Araba,10,43.096299,-3.072769,http://opendata.eurohelp.es/jaiegunak/Done-Petri
2017-04-25,San Marcos,Done Marko,Ayala/Menoio,Aiara/Menoio,Álava/Araba,10,43.069585,-3.072926,http://opendata.eurohelp.es/jaiegunak/Done-Marko
2017-06-24,San Juan,Done Joane,Ayala/Murga,Aiara/Murga,Álava/Araba,10,43.075372,-3.02559,http://opendata.eurohelp.es/jaiegunak/Done-Joane
2017-01-24,San Babilás,Done Babilas,Ayala/Olabezar,Aiara/Olabezar,Álava/Araba,10,43.069997,-3.014813,http://opendata.eurohelp.es/jaiegunak/Done-Babilas
2017-10-09,Ntra. Sra. del Rosario,Errosarioko Andra Maria,Ayala/Ozeka,Aiara/Ozeka,Álava/Araba,10,43.070824,-3.090905,http://opendata.eurohelp.es/jaiegunak/Errosarioko-Andra-Maria
2017-08-05,Las Nieves,Elurretako Andra Maria,Ayala/Quejana,Aiara/Kexaa,Álava/Araba,10,43.081485,-3.063094,http://opendata.eurohelp.es/jaiegunak/Elurretako-Andra-Maria
2017-05-15,San Isidro,Done Isidro,Ayala/Respaldiza,Aiara/Arespalditza,Álava/Araba,10,43.078065,-3.042931,http://opendata.eurohelp.es/jaiegunak/Done-Isidro
2017-07-22,La Magdalena,Magdalena Eguna,Ayala/Retes de Llanteno,Aiara/Retes de Llanteno,Álava/Araba,10,43.091803,-3.099984,http://opendata.eurohelp.es/jaiegunak/Magdalena-Eguna
2017-07-18,Santa Marina,Dona Marina,Ayala/Salmantón,Aiara/Salmanton,Álava/Araba,10,43.052629,-3.088347,http://opendata.eurohelp.es/jaiegunak/Dona-Marina
2017-08-30,San Emeterio,Done Meteri,Ayala/Sojo,Aiara/Sojo,Álava/Araba,10,43.09073,-3.122839,http://opendata.eurohelp.es/jaiegunak/Done-Meteri
2017-07-18,Santa Marina,Dona Marina,Ayala/Zuaza,Aiara/Zuaza,Álava/Araba,10,43.099672,-3.049447,http://opendata.eurohelp.es/jaiegunak/Dona-Marina
2017-07-10,San Cristóbal,Done Kristobal,Baños de Ebro,Mañueta,Álava/Araba,11,42.53029,-2.679144,http://opendata.eurohelp.es/jaiegunak/Done-Kristobal
2017-06-26,San Juan,Done Joane,Barrundia,Barrundia,Álava/Araba,13,42.916667,-2.491667,http://opendata.eurohelp.es/jaiegunak/Done-Joane
2017-09-08,La Natividad,Jaiotzaren eguna,Berantevilla,Berantevilla,Álava/Araba,14,42.68245,-2.860401,http://opendata.eurohelp.es/jaiegunak/Jaiotzaren-eguna
2017-09-08,Santa María Magdalena,Santa Maria,Bernedo,Bernedo,Álava/Araba,16,42.626684,-2.497532,http://opendata.eurohelp.es/jaiegunak/Santa-Maria
2017-05-15,San Isidro,Done Isidro,Campezo,Kanpezu,Álava/Araba,17,42.691944,-2.37,http://opendata.eurohelp.es/jaiegunak/Done-Isidro
2017-09-08,La Virgen,Andra maria,Kripan,Kripan,Álava/Araba,19,42.591666,-2.516079,http://opendata.eurohelp.es/jaiegunak/Andra-maria
2017-06-23,Fiesta local,Tokiko jaieguna,Kuartango,Kuartango,Álava/Araba,20,42.871389,-2.885556,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-06-29,San Pedro,San Pedro,Elburgo,Burgelu,Álava/Araba,21,42.849564,-2.544762,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-09-08,Virgen de la Plaza,Plazako Andra Maria,Elciego,Zieko,Álava/Araba,22,42.515073,-2.618277,http://opendata.eurohelp.es/jaiegunak/Plazako-Andra-Maria
2017-08-16,San Roque,Done Roke,Elvillar,Bilar,Álava/Araba,23,42.570497,-2.544915,http://opendata.eurohelp.es/jaiegunak/Done-Roke
2017-05-15,San Isidro Labrador,San Isidro Nekazaria,Valle de Arana,Harana,Álava/Araba,,42.752731,-2.312303,http://opendata.eurohelp.es/jaiegunak/San-Isidro-Nekazaria
2017-06-29,San Pedro,Done Petri,Valle de Arana/Alda,Harana/Alda,Álava/Araba,56,42.752791,-2.33071,http://opendata.eurohelp.es/jaiegunak/Done-Petri
2017-08-16,San Roque,Done Roke,Valle de Arana/Contrasta,Harana/Kontrasta,Álava/Araba,56,42.770305,-2.295079,http://opendata.eurohelp.es/jaiegunak/Done-Roke
2017-01-22,San Vicente de Arana,Aranako Done Bikendi,Valle de Arana/San Vicente De Arana,Harana/Done Bikendi Arana,Álava/Araba,56,42.744143,-2.360905,http://opendata.eurohelp.es/jaiegunak/Aranako-Done-Bikendi
2017-06-24,San Juan,Done Joane,Valle de Arana,Ullibarri-Harana,Álava/Araba,56,42.75957,-2.319402,http://opendata.eurohelp.es/jaiegunak/Done-Joane
2017-08-17,Fiesta local,Tokiko jaieguna,Iruña de Oca/Nanclares de la Oca,Iruña Oka/Langraiz Oka,Álava/Araba,901,42.817197,-2.811518,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-05-20,Fiesta local,Tokiko jaieguna,Iruña de Oca/Trespuentes,Iruña Oka/Tresponde,Álava/Araba,901,42.845544,-2.789037,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-01-10,Fiesta local,Tokiko jaieguna,Iruña de Oca/Villodas,Iruña Oka/Billoda,Álava/Araba,901,42.83253,-2.787077,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-06-23,San Juan,Done Joane,Iruraiz-Gauna,Iruraiz-Gauna,Álava/Araba,27,42.822072,-2.495043,http://opendata.eurohelp.es/jaiegunak/Done-Joane
2017-11-24,2º día de Acción de Gracias,2. Esker Oneko Eguna,Labastida,Labastida,Álava/Araba,28,42.590459,-2.792991,http://opendata.eurohelp.es/jaiegunak/2--Esker-Oneko-Eguna
2017-08-24,San Bartolomé,Done Bartolome,Lagrán,Lagrán,Álava/Araba,30,42.626395,-2.58382,http://opendata.eurohelp.es/jaiegunak/Done-Bartolome
2017-06-29,San Juan Bautista,Done Joane,Laguardia,Laguardia,Álava/Araba,31,42.554278,-2.584237,http://opendata.eurohelp.es/jaiegunak/Done-Joane
2017-09-08,Virgen del Campo,Amabirjina,Lanciego,Lantziego,Álava/Araba,32,42.562619,-2.513204,http://opendata.eurohelp.es/jaiegunak/Amabirjina
2017-09-18,Santos Cornelio y Cipriano,Done Kornelio eta Done Zipri,Lantarón,Lantarón,Álava/Araba,902,42.756673,-2.987556,http://opendata.eurohelp.es/jaiegunak/Done-Kornelio-eta-Done-Zipri
2017-08-24,San Bartolomé,Done Bartolome,Lapuebla de Labarca,Lapuebla de Labarca,Álava/Araba,33,42.493969,-2.573024,http://opendata.eurohelp.es/jaiegunak/Done-Bartolome
2017-09-11,La Cofradias,Kofradiak,Legutio,Legutiano,Álava/Araba,58,42.977822,-2.642724,http://opendata.eurohelp.es/jaiegunak/Kofradiak
2017-08-16,San Roque,Done Roke,Leza,Leza,Álava/Araba,34,42.566068,-2.633635,http://opendata.eurohelp.es/jaiegunak/Done-Roke
2017-08-16,San Roque,Done Roke,Llodio,Laudio,Álava/Araba,36,43.143333,-2.962985,http://opendata.eurohelp.es/jaiegunak/Done-Roke
2017-08-18,Acción de Gracias,Esker Oneko eguna,Moreda de Alava,Moreda de Alava,Álava/Araba,39,42.528016,-2.40767,http://opendata.eurohelp.es/jaiegunak/Esker-Oneko-eguna
2017-06-02,San Juan de Ortega,Done Joane Ortegakoa,Navaridas,Nabaridas,Álava/Araba,41,42.545171,-2.624532,http://opendata.eurohelp.es/jaiegunak/Done-Joane-Ortegakoa
2017-08-24,San Bartolomé,Done Bartolome,Okondo,Okondo,Álava/Araba,42,43.162222,-3.018889,http://opendata.eurohelp.es/jaiegunak/Done-Bartolome
2017-01-23,San Vicente y San Anastasio,Bikendi eta Anastasi Santuak,Oyón/Oion,Oyón/Oion,Álava/Araba,43,42.506137,-2.436965,http://opendata.eurohelp.es/jaiegunak/Bikendi-eta-Anastasi-Santuak
2017-05-15,San Isidro Labrador,Done Isidro Nekazaria,Peñacerrada,Urizaharra,Álava/Araba,44,42.644095,-2.713374,http://opendata.eurohelp.es/jaiegunak/Done-Isidro-Nekazaria
2017-05-15,San Isidro Labrador,Done Isidro Nekazaria,Ribera Alta,Erribera Goitia,Álava/Araba,46,42.807222,-2.9175,http://opendata.eurohelp.es/jaiegunak/Done-Isidro-Nekazaria
2017-08-28,Fiesta local,Tokiko jaieguna,Ribera Baja,Erribera Beitia,Álava/Araba,47,42.719678,-2.907609,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-06-24,San Juan,Done Joane,Salvatierra,Agurain,Álava/Araba,51,42.852442,-2.389455,http://opendata.eurohelp.es/jaiegunak/Done-Joane
2017-09-08,Virgen del Valle,Haranako Andra Maria,Samaniego,Samaniego,Álava/Araba,52,42.569832,-2.680185,http://opendata.eurohelp.es/jaiegunak/Haranako-Andra-Maria
2017-11-13,San Millán,Done Milian,San Millán,Donemiliaga,Álava/Araba,53,42.874722,-2.376111,http://opendata.eurohelp.es/jaiegunak/Done-Milian
2017-10-02,Nuestra Señora del Rosario,Errosarioko Andra Maria,Urkabustaiz,Urkabustaiz,Álava/Araba,54,42.971944,-2.922222,http://opendata.eurohelp.es/jaiegunak/Errosarioko-Andra-Maria
2017-05-15,San Isidro,Done Isidro,Valdegovía,Valdegovía,Álava/Araba,55,42.85,-3.1,http://opendata.eurohelp.es/jaiegunak/Done-Isidro
2017-05-15,San Torcuato,Done Torkuato,Villabuena de Álava,Eskuernaga,Álava/Araba,57,42.548717,-2.665456,http://opendata.eurohelp.es/jaiegunak/Done-Torkuato
2017-08-05,Virgen Blanca,Andra Mari Zuria,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava/Araba,59,42.846406,-2.667893,http://opendata.eurohelp.es/jaiegunak/Andra-Mari-Zuria
2017-08-18,Nuestra Señora de Bercijana,Berzijanako Andra Maria,Yécora,Ikeora,Álava/Araba,60,42.569303,-2.470064,http://opendata.eurohelp.es/jaiegunak/Berzijanako-Andra-Maria
2017-06-10,San Kisimos,Hargatiko Eguna,Zalduondo,Zalduondo,Álava/Araba,61,42.885626,-2.347254,http://opendata.eurohelp.es/jaiegunak/Hargatiko-Eguna
2017-08-05,Santa Lucia,Santa Luzia,Zambrana,Zambrana,Álava/Araba,62,42.659981,-2.879353,http://opendata.eurohelp.es/jaiegunak/Santa-Luzia
2017-08-04,Eguzki Jaia,Eguzki Jaia,Zigoitia,Zigoitia,Álava/Araba,18,42.9682,-2.7183,http://opendata.eurohelp.es/jaiegunak/Eguzki-Jaia
2017-09-29,San Miguel,Done Mikel,Zuia,Zuia,Álava/Araba,63,42.981667,-2.844,http://opendata.eurohelp.es/jaiegunak/Done-Mikel
