manufacturer,model,generation,productionStartYear,productionEndYear,platform,engineCode,engine,displacement,valves,torqueOutput,traction,length,width,height,curbWeight,fuelType,fuelTank,numberAirbags,numberDoors,price,celica-uri,celica-displacement-extended-uri,celica-torqueOutput-extended-uri,celica-dimensions-extended-uri,celica-curbWeight-extended-uri,celica-fuelCapacity-extended-uri,celica-price-extended-uri,data-uri
Toyota,Celica,1,1970,1977,A20/30,T,1.4,1407,8,3800,RWD,4170,1600,1300,890,Petrol,50,0,3,,http://opendata.eurohelp.es/resource/Car/Specifications/Toyota-Celica-1-1-4,http://opendata.eurohelp.es/resource/Car/displacement/Toyota-Celica-1-1-4-1407,http://opendata.eurohelp.es/resource/Car/torqueOutput/Toyota-Celica-1-1-4-3800,http://opendata.eurohelp.es/resource/Car/dimensions/Toyota-Celica-1-1-4-4170-1600-1300,http://opendata.eurohelp.es/resource/Car/curbWeight/Toyota-Celica-1-1-4-890,http://opendata.eurohelp.es/resource/Car/fuelCapacity/Toyota-Celica-1-1-4-50,http://opendata.eurohelp.es/resource/Car/price/Toyota-Celica-1-1-4-,http://opendata.eurohelp.es/resource/Car/Toyota-Celica
Toyota,Celica,2,1977,1981,A40/50,2T,1.6,1588,8,3600,RWD,4410,1640,1310,1060,Petrol,61,0,3,,http://opendata.eurohelp.es/resource/Car/Specifications/Toyota-Celica-2-1-6,http://opendata.eurohelp.es/resource/Car/displacement/Toyota-Celica-2-1-6-1588,http://opendata.eurohelp.es/resource/Car/torqueOutput/Toyota-Celica-2-1-6-3600,http://opendata.eurohelp.es/resource/Car/dimensions/Toyota-Celica-2-1-6-4410-1640-1310,http://opendata.eurohelp.es/resource/Car/curbWeight/Toyota-Celica-2-1-6-1060,http://opendata.eurohelp.es/resource/Car/fuelCapacity/Toyota-Celica-2-1-6-61,http://opendata.eurohelp.es/resource/Car/price/Toyota-Celica-2-1-6-,http://opendata.eurohelp.es/resource/Car/Toyota-Celica
Toyota,Celica,3,1981,1985,A60,2T-B,1.6,1588,8,4000,RWD,4435,1665,1310,1095,Petrol,61,0,3,,http://opendata.eurohelp.es/resource/Car/Specifications/Toyota-Celica-3-1-6,http://opendata.eurohelp.es/resource/Car/displacement/Toyota-Celica-3-1-6-1588,http://opendata.eurohelp.es/resource/Car/torqueOutput/Toyota-Celica-3-1-6-4000,http://opendata.eurohelp.es/resource/Car/dimensions/Toyota-Celica-3-1-6-4435-1665-1310,http://opendata.eurohelp.es/resource/Car/curbWeight/Toyota-Celica-3-1-6-1095,http://opendata.eurohelp.es/resource/Car/fuelCapacity/Toyota-Celica-3-1-6-61,http://opendata.eurohelp.es/resource/Car/price/Toyota-Celica-3-1-6-,http://opendata.eurohelp.es/resource/Car/Toyota-Celica
Toyota,Celica,4,1985,1989,T160,4A-GE,1.6 ST,1587,8,3600,FWD,4365,1710,1260,1032,Petrol,60,0,3,,http://opendata.eurohelp.es/resource/Car/Specifications/Toyota-Celica-4-1-6-ST,http://opendata.eurohelp.es/resource/Car/displacement/Toyota-Celica-4-1-6-ST-1587,http://opendata.eurohelp.es/resource/Car/torqueOutput/Toyota-Celica-4-1-6-ST-3600,http://opendata.eurohelp.es/resource/Car/dimensions/Toyota-Celica-4-1-6-ST-4365-1710-1260,http://opendata.eurohelp.es/resource/Car/curbWeight/Toyota-Celica-4-1-6-ST-1032,http://opendata.eurohelp.es/resource/Car/fuelCapacity/Toyota-Celica-4-1-6-ST-60,http://opendata.eurohelp.es/resource/Car/price/Toyota-Celica-4-1-6-ST-,http://opendata.eurohelp.es/resource/Car/Toyota-Celica
Toyota,Celica,5,1989,1993,T180,4A-FE,1.6 STi,1587,16,3200,FWD,4420,1745,1300,1000,Petrol,60,0,3,,http://opendata.eurohelp.es/resource/Car/Specifications/Toyota-Celica-5-1-6-STi,http://opendata.eurohelp.es/resource/Car/displacement/Toyota-Celica-5-1-6-STi-1587,http://opendata.eurohelp.es/resource/Car/torqueOutput/Toyota-Celica-5-1-6-STi-3200,http://opendata.eurohelp.es/resource/Car/dimensions/Toyota-Celica-5-1-6-STi-4420-1745-1300,http://opendata.eurohelp.es/resource/Car/curbWeight/Toyota-Celica-5-1-6-STi-1000,http://opendata.eurohelp.es/resource/Car/fuelCapacity/Toyota-Celica-5-1-6-STi-60,http://opendata.eurohelp.es/resource/Car/price/Toyota-Celica-5-1-6-STi-,http://opendata.eurohelp.es/resource/Car/Toyota-Celica
Toyota,Celica,6,1993,1999,T200,7A-FE,1.8i,1762,16,4400,FWD,4420,1750,1300,1170,Petrol,60,2,3,18750,http://opendata.eurohelp.es/resource/Car/Specifications/Toyota-Celica-6-1-8i,http://opendata.eurohelp.es/resource/Car/displacement/Toyota-Celica-6-1-8i-1762,http://opendata.eurohelp.es/resource/Car/torqueOutput/Toyota-Celica-6-1-8i-4400,http://opendata.eurohelp.es/resource/Car/dimensions/Toyota-Celica-6-1-8i-4420-1750-1300,http://opendata.eurohelp.es/resource/Car/curbWeight/Toyota-Celica-6-1-8i-1170,http://opendata.eurohelp.es/resource/Car/fuelCapacity/Toyota-Celica-6-1-8i-60,http://opendata.eurohelp.es/resource/Car/price/Toyota-Celica-6-1-8i-18750,http://opendata.eurohelp.es/resource/Car/Toyota-Celica
Toyota,Celica,7,1999,2006,T230,1ZZ-FE,1.8 VVT-i,1794,16,4200,FWD,4335,1735,1310,1202,Petrol,55,2,3,23440,http://opendata.eurohelp.es/resource/Car/Specifications/Toyota-Celica-7-1-8-VVT-i,http://opendata.eurohelp.es/resource/Car/displacement/Toyota-Celica-7-1-8-VVT-i-1794,http://opendata.eurohelp.es/resource/Car/torqueOutput/Toyota-Celica-7-1-8-VVT-i-4200,http://opendata.eurohelp.es/resource/Car/dimensions/Toyota-Celica-7-1-8-VVT-i-4335-1735-1310,http://opendata.eurohelp.es/resource/Car/curbWeight/Toyota-Celica-7-1-8-VVT-i-1202,http://opendata.eurohelp.es/resource/Car/fuelCapacity/Toyota-Celica-7-1-8-VVT-i-55,http://opendata.eurohelp.es/resource/Car/price/Toyota-Celica-7-1-8-VVT-i-23440,http://opendata.eurohelp.es/resource/Car/Toyota-Celica
